ASV inference stats: Number of 16S rRNA amplicon read pairs and filtering overview						
						
Sample ID	input read pairs	read pairs kept after filtering	Forward reads denoised	Reverse reads denoised	Merged reads	Non-chimeric ASVs
SMAQ_R1_1	183402	153076	151587	151885	142523	102700
SMAQ_R1_2	191258	164357	163705	163552	157079	107526
SMAQ_R1_3	176930	144980	144455	144311	138362	100271
SMAQ_R1_4	158056	136938	136227	136276	132102	100500
SMAQ_R1_5	214397	185946	184524	184775	174337	123013
SMAQ_R1_6	167933	143730	142633	142940	135708	108119
SMAQ_R1_7	164267	136331	135767	135605	130787	100296
SMAQ_R1_8	108435	93436	92918	92951	89334	72337
SMAQ_R1_10	203717	172116	169771	169374	146186	69085
SMAQ_R1_11	177959	154878	154291	154512	152593	135328
SMAQ_R1_12	222534	190164	189377	189351	180348	120341
SMAQ_R1_13	323432	281049	279996	279993	271718	209448
SMAQ_R1_14	213588	143437	142074	142574	134422	89597
SMAQ_R1_15	212216	181298	180039	180468	171959	129477
SMAQ_R1_16	155957	129550	128980	128633	123165	93226
SMAQ_R1_17	347	177	151	149	121	121
SMAQ_R1_18	462	236	182	184	134	134
SMAQ_R1_19	197748	166608	166238	166253	161532	112005
SMAQ_R1_21	218717	185883	185139	184842	179390	128872
SMAQ_R1_22	154682	135162	134812	134602	130114	91509
SMAQ_R1_23	217244	186499	185857	185564	177232	110598
SMAQ_R1_24	182911	155507	155143	154999	151593	109374
SMAQ_R1_25	182088	155312	154450	154227	149374	110651
SMAQ_R1_28	213009	180913	180114	180174	173960	133161
SMAQ_R1_29	257762	215128	214387	214047	208006	141614
SMAQ_R2_16	153108	126593	126318	126354	124863	108773
SMAQ_R2_33	168759	135147	134815	134911	132839	108922
SMAQ_R2_3	188946	163592	163313	163088	160479	135124
SMAQ_R2_6	196032	170124	169931	169854	167661	145396
SMAQ_R2_7	182010	156586	156212	156083	152495	115183
SMAQ_R2_8	207551	178081	177403	177282	173044	138600
SMAQ_R2_9	200190	172931	172525	172482	170100	139214
SMAQ_R2_10	215788	188619	188374	188330	185624	161380
SMAQ_R2_11	198872	172121	171882	171799	169779	140915
SMAQ_R2_13	165961	139697	139368	139422	136842	112301
SMAQ_R2_14	246923	212064	211655	211795	205831	158481
SMAQ_R2_15	120305	102703	102284	102235	99539	82211
SMAQ_R2_1	117524	97935	97723	97453	94987	79798
SMAQ_R2_17	183355	149929	149255	148755	143493	110186
SMAQ_R2_18	146714	125402	124804	124617	121265	94954
SMAQ_R2_20	137499	119130	118724	118745	115549	100712
SMAQ_R2_37	85559	70748	70621	70534	69550	52331
SMAQ_R2_22	167623	141560	138817	139820	128248	92134
SMAQ_R2_24	248057	211633	210952	210796	205044	153229
SMAQ_R2_40	77394	48716	48602	48270	47412	34504
SMAQ_R2_27	104811	85347	85117	85056	83277	68208
SMAQ_R2_28	154169	128942	128475	128341	124768	88614
SMAQ_R2_29	115910	99499	99280	99292	98103	86415
SMAQ_R2_30	208210	172139	171404	171358	166057	134228
SMAQ_R2_31	227219	149750	149483	149473	147750	125251
SWAJ_R1_23	266251	218757	217658	217358	207878	144051
SWAJ_R1_24	161231	138481	137785	137815	131722	98442
SWAJ_R1_25	197523	172507	171356	171149	162746	110892
SWAJ_R1_26	141517	120061	119023	119075	113131	73493
SWAJ_R1_27	196377	166423	163140	163800	149366	103914
SWAJ_R1_28	194587	167543	166039	166100	154752	112581
SWAJ_R1_29	244262	207692	206414	206396	187282	146404
SWAJ_R1_30	209413	180879	179903	180000	171447	133828
SWAJ_R1_31	196851	168649	167195	167236	156462	125506
SWAJ_R1_32	243778	205658	204243	204223	173211	128902
SWAJ_R1_33	166793	138872	137040	137362	122430	72064
SWAJ_R1_34	146269	124761	123792	123791	117338	86979
SWAJ_R1_35	185265	149891	146617	147378	125760	87732
SWAJ_R1_36	164869	140581	138701	138815	128821	99061
SWAJ_R1_37	172929	149624	148324	148374	140211	103994
SWAJ_R1_38	84256	72292	71414	71268	66255	51714
SWAJ_R1_39	192695	165331	163916	164041	153625	117606
SWAJ_R1_40	167661	142946	141543	141217	131380	93628
SWAJ_R1_50	174445	151107	150229	150410	144431	117438
SWAJ_R1_42	205126	133349	132008	132053	121795	91959
SWAJ_R1_43	181216	154965	153307	153161	142114	114532
SWAJ_R1_44	199127	169338	166591	167024	150307	107599
SWAJ_R1_45	144970	122119	120860	121018	111450	90182
SWAJ_R1_46	171950	145192	144110	143897	134403	88760
SWAJ_R1_47	174598	139300	136180	137037	115152	73204
SWAJ_R3_1	124067	104219	103701	103700	101171	80230
SWAJ_R3_2	149171	125168	124803	124788	122580	95984
