INDIVIDUALS,STRATA
PMAQ-R1-6,CL2
PMAQ-R1-15,CL2
PMAQ-R1-10,CL2
PMAQ-R1-26,CL2
PMAQ-R1-4,CL2
PMAQ-R1-16,CL2
PMAQ-R1-17,CL2
PMAQ-R1-30,CL2
PMAQ-R1-20,CL2
PMAQ-R2-3,CL2
PMAQ-R2-7,CL2
PMAQ-R2-32,CL2
PMAQ-R2-35,CL2
PMAQ-R2-29,CL2
PMAQ-R2-27,CL2
PMAQ-R2-19,CL2
PMAQ-R2-10,CL2
PMAQ-R2-21,CL2
PMAQ-R2-5,CL2
PMAQ-R2-16,CL2
PMAQ-R2-12,CL2
PMAQ-R2-18,CL2
PMAQ-R2-6,CL2
PMAQ-R2-28,CL2
PMAQ-R2-14,CL2
PWAJ-R1-1,CL2
PWAJ-R1-6,CL2
PWAJ-R1-14,CL2
PWAJ-R1-31,CL2
PWAJ-R1-37,CL2
PWAJ-R1-38,CL2
PWAJ-R1-4,CL2
PWAJ-R1-39,CL2
PWAJ-R1-29,CL2
PWAJ-R1-8,CL2
PWAJ-R1-16,CL2
PWAJ-R1-26,CL2
PWAJ-R1-30,CL2
PWAJ-R1-28,CL2
PWAJ-R1-20,CL2
PWAJ-R1-10,CL2
PWAJ-R1-27,CL2
PWAJ-R1-22,CL2
PWAJ-R1-3,CL2
PWAJ-R1-33,CL2
PWAJ-R1-19,CL2
PWAJ-R1-24,CL2
PWAJ-R2-1,CL2
PWAJ-R2-5,CL2
PWAJ-R2-7,CL2
PWAJ-R2-8,CL2
PWAJ-R2-11,CL2
PWAJ-R2-16,CL2
PWAJ-R2-24,CL2
PWAJ-R2-27,CL2
PWAJ-R2-30,CL2
PWAJ-R2-15,CL2
PWAJ-R2-2,CL2
PWAJ-R2-25,CL2
PWAJ-R2-26,CL2
PWAJ-R2-29,CL2
PWAJ-R2-3,CL2
PWAJ-R2-13,CL2
PWAJ-R2-18,CL2
PWAJ-R2-14,CL2
PWAJ-R2-12,CL2
PWAJ-R2-9,CL2
PWAJ-R3-9,CL2
PWAJ-R3-13,CL2
PWAJ-R3-25,CL2
PWAJ-R3-23,CL2
PWAJ-R3-3,CL2
PWAJ-R3-30,CL2
PWAJ-R3-18,CL2
PWAJ-R3-27,CL2
PWAJ-R3-4,CL2
PWAJ-R3-11,CL2
PWAJ-R3-1,CL2
PWAJ-R3-2,CL2
PWAJ-R3-6,CL2
PYAN-R1-8,CL2
PYAN-R1-18,CL2
PYAN-R1-27,CL2
PYAN-R1-22,CL2
PYAN-R1-19,CL2
PYAN-R1-25,CL2
PYAN-R1-9,CL2
PYAN-R1-3,CL2
PYAN-R1-6,CL2
PYAN-R1-2,CL2
PYAN-R1-30,CL2
PYAN-R3-19,CL2
PYAN-R3-30,CL2
PYAN-R3-29,CL2
PYAN-R3-11,CL2
PYAN-R3-15,CL2
PYAN-R3-27,CL2
PYAN-R3-21,CL2
PKAU-R1-8,CL2
PKAU-R1-23,CL2
PKAU-R1-17,CL2
PKAU-R1-20,CL2
PKAU-R1-37,CL2
PKAU-R1-29,CL2
PKAU-R1-28,CL2
PKAU-R1-38,CL2
PKAU-R1-16,CL2
PKAU-R1-2,CL2
PKAU-R1-19,CL2
PKAU-R1-26,CL2
PKAU-R1-40,CL2
PKAU-R1-4,CL2
PKAU-R2-5,CL2
PKAU-R2-7,CL2
PKAU-R2-11,CL2
PKAU-R2-14,CL2
PKAU-R2-21,CL2
PKAU-R2-26,CL2
PKAU-R2-13,CL2
PKAU-R2-3,CL2
PKAU-R2-19,CL2
PKAU-R2-2,CL2
PKAU-R2-25,CL2
PKAU-R3-1,CL2
PKAU-R3-10,CL2
PKAU-R3-14,CL2
PKAU-R3-17,CL2
PKAU-R3-28,CL2
PKAU-R3-12,CL2
PKAU-R3-25,CL2
PKAU-R3-20,CL2
PKAU-R3-19,CL2
PKAU-R3-18,CL2
PKAU-R3-15,CL2
PKAU-R3-4,CL2
PKAU-R3-21,CL2
PKAU-R3-5,CL2
PKAU-R3-11,CL2
PKAU-R3-13,CL2
PKAU-R3-23,CL2
PKAU-R3-9,CL2
PDOG-R1-5,CL2
PDOG-R1-12,CL2
PDOG-R1-13,CL2
PDOG-R1-14,CL2
PDOG-R1-24,CL2
PDOG-R1-27,CL2
PDOG-R1-7,CL2
PDOG-R1-20,CL2
PDOG-R1-6,CL2
PDOG-R1-1,CL2
PDOG-R1-19,CL2
PDOG-R1-9,CL2
PDOG-R1-22,CL2
PDOG-R1-23,CL2
PDOG-R1-29,CL2
PDOG-R1-28,CL2
PDOG-R2-11,CL2
PDOG-R2-20,CL2
PDOG-R2-23,CL2
PDOG-R2-17,CL2
PDOG-R2-21,CL2
PDOG-R2-3,CL2
PDOG-R2-22,CL2
PDOG-R2-19,CL2
PDOG-R2-15,CL2
PDOG-R2-24,CL2
PDOG-R2-5,CL2
PDOG-R2-2,CL1
PDOG-R2-6,CL1
PDOG-R2-8,CL1
PDOG-R2-10,CL1
PDOG-R3-5,CL2
PDOG-R3-10,CL2
