ITS2 type profile UID		85586	85581	84568	85591	84566	85585	85596	84552	84603	84604	84607	85615	84574	85623	84609	85599	84576	85661	84569	85595	85624	84608	84571	85625	84606	84572	85600	84575	84570	84591	84613	84679	84573	85583	84605	85594	85611	85654	85660	84553	84555	85584	85589	84614	84567	85590	85601	84599	85655	84647	84736	85083	85439	85464	85138	85463	84835	84927	84877	84881	85462	84880	84879	84926	85151	84785	84932	85489	85490	85054	85651	85145	85670	85198	84781	84782	84844	84845	84864	84878	84913	84935	85488	85250	85561	85268	85551	85384
Clade		A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	G
Majority ITS2 sequence		A1	A1	A1/A1c	A1	A1	A1/A1c	A1	A1	A1	A1/A1cz	A1	A1	A1j	A1	A1	A1	A1/A1bz	A1j	A1	A1	A1	A1	A1	A1	A1	A1/A1j	A1	A1j	A1	A1	A1	A1	A1	A1	A1	A1	A1	A1cc	A1/A1bv	A1	A1	A1	A1	A1	A1	A1ej	A1	A1	A1cl	A7	B1g	C3	C1/C1h	C72	C15h	C21	C1	C21	C21	C116	C21	C72	C21	C72	C1/C93a	C1	C163b	C15/C3z	C3z	C15	C93a	C21	C116	C72	C1	C41	C50b	C3	C3k	C15h	C15	C3z	C116	D1/D6	D1	D1	D4	G3b
Associated species		S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	None	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	None	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	None	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	None	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	S. microadriaticum	None	S. microadriaticum	S. microadriaticum	None	None	None	None	S. goreaui	None	None	None	S. goreaui	None	None	None	None	S. goreaui	None	S. goreaui	S. goreaui	S. goreaui	None	None	None	None	None	None	None	None	S. goreaui	None	None	S. goreaui	None	None	None	None	None	S. glynnii,S. trenchii	S. trenchii	S. trenchii	S. trenchii	None
ITS2 profile abundance local		70	49	48	44	35	34	29	28	27	26	26	24	20	18	16	15	13	13	12	12	12	12	11	11	11	10	10	10	8	7	6	6	5	5	5	4	4	4	4	3	3	3	3	3	2	2	2	1	1	1	4	24	20	18	15	15	8	8	7	7	7	6	4	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	1	1
ITS2 profile abundance DB		76	136	87	45	40	53	29	281	40	26	30	29	20	26	37	18	13	16	28	17	20	12	15	15	11	13	10	21	8	52	15	7	11	6	5	4	12	9	6	24	9	15	8	18	20	3	12	23	10	17	4	41	20	19	18	15	9	34	7	7	7	24	4	18	24	57	12	8	27	12	6	47	10	12	32	7	69	10	12	41	29	11	14	14	27	35	354	4
ITS2 type profile		A1-A1c-A1cc-A1h-A1bv-A1cb-A1ce	A1-A1cc-A1c-A1h-A1q-A1i	A1/A1c-A1h-A1ce	A1-A1g-A1dl	A1-A1m	A1/A1c-A1h-A1cc-A1ce-A1ch	A1-A1m-A1cd-A1dl	A1	A1-A1db	A1/A1cz-A1cs-A1cw	A1-A1m-A1z	A1-A1bh-A1z	A1j-A1bv-A1cb-A1cf-A1	A1-A1db-A1dl	A1-A1bw-A1bf-A1bx	A1-A1bv-A1z	A1/A1bz-A1by-A1cy	A1j-A1bv-A1cb-A1	A1/A1g	A1-A1h-A1dl	A1-A1cr-A1dl	A1-A1de-A1cx-A1m	A1-A1ci	A1-A1bw-A1bf-A1bx-A1dl	A1-A1dc-A1ct	A1/A1j-A1bv-A1cb-A1c-A1cg	A1-A1cn-A1dd-A1bw-A1bf-A1bv	A1j-A1bv-A1cb-A1-A1eg	A1-A1m-A1ca	A1-A1z	A1-A1m-A1n	A1-A1cp-A1g	A1-A1p	A1-A1cl-A1m	A1-A1dc-A1cp	A1-A1ci-A1bw-A1bf-A1h	A1/A1k-A1cv	A1cc	A1/A1bv-A1cb-A1j	A1/A1c-A1cc-A1h	A1-A1cu	A1-A1c-A1h-A1cv	A1-A1g-A1cv	A1-A1dl	A1/A1c-A1h	A1ej	A1-A1bv-A1dl	A1-A1dv-A1dw-A1dl	A1cl	A7/A16d	B1g	C3/C7	C1/C1h-C1ai-C1x-C1b-C1ak-C1aj	C72-C1-C72f-C1b-C72g	C15h-C15as-C15at-C15au	C21-C21q-C21t-C21n-C21r	C1-C1h-C1ai-C1b	C21	C21-C21o-C21n-C21m-C21p-C21r-C21q	C116-C116f-C116n	C21-C21m-C21l-C21q-C21t	C72/C1	C21-C21n-C21p-C21o-C21q-C21r-C21s	C72/C1-C72a-C1b-C72c-C72b	C1/C93a	C1	C163b	C50b/C3z/C15-C3-C3.10-C3an	C3z-C3-C3.10-C3an-C3bq-C115	C15/C116aa	C93a	C21/C3	C116/C15-C15h	C72	C1/C1c-C1b	C41	C50b-C3-C3bm-C50f	C50b/C1/C3-C1c-C1b	C3bo/C3k-C3bp	C15h	C15/C15ai	C3z/C15	C116-C116f-C116e-C116d-C116q	D6/D1-D4-D17-D2.2	D1-D4-D1c-D17d-D1r-D17e-D17c	D1/D4-D1c	D1/D4-D4c-D1h-D1c-D2	G3b
55595	PYAN-R3-19	22895.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55726	PYAN-R3-1	17196.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55897	PYAN-R3-3	18528.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
