INDIVIDUALS,STRATA
SMAQ-R1-1,CL3
SMAQ-R1-2,CL3
SMAQ-R1-3,CL3
SMAQ-R1-5,CL3
SMAQ-R1-7,CL3
SMAQ-R1-8,CL3
SMAQ-R1-10,CL3
SMAQ-R1-12,CL3
SMAQ-R1-14,CL3
SMAQ-R1-15,CL3
SMAQ-R1-18,CL3
SMAQ-R1-23,CL3
SMAQ-R1-29,CL3
SMAQ-R1-11,CL2
SMAQ-R1-19,CL2
SMAQ-R1-25,CL2
SMAQ-R1-6,CL2
SMAQ-R1-17,CL2
SMAQ-R1-4,CL4
SMAQ-R1-24,CL4
SMAQ-R1-28,CL4
SMAQ-R2-33,CL2
SMAQ-R2-7,CL2
SMAQ-R2-9,CL2
SMAQ-R2-13,CL2
SMAQ-R2-14,CL2
SMAQ-R2-17,CL2
SMAQ-R2-18,CL2
SMAQ-R2-37,CL2
SMAQ-R2-28,CL2
SMAQ-R2-22,CL2
SMAQ-R2-16,CL2
SMAQ-R2-6,CL2
SMAQ-R2-40,CL6
SMAQ-R2-8,CL6
SMAQ-R2-20,CL6
SMAQ-R2-29,CL6
SMAQ-R2-30,CL6
SMAQ-R2-31,CL6
SMAQ-R2-10,CL3
SMAQ-R2-11,CL3
SMAQ-R2-27,CL3
SWAJ-R1-23,CL6
SWAJ-R1-25,CL6
SWAJ-R1-26,CL6
SWAJ-R1-27,CL6
SWAJ-R1-30,CL6
SWAJ-R1-33,CL6
SWAJ-R1-34,CL6
SWAJ-R1-38,CL6
SWAJ-R1-42,CL6
SWAJ-R1-43,CL6
SWAJ-R1-45,CL6
SWAJ-R1-29,CL6
SWAJ-R3-1,CL2
SWAJ-R3-2,CL2
SWAJ-R3-3,CL2
SWAJ-R3-4,CL2
SWAJ-R3-5,CL2
SWAJ-R3-6,CL2
SWAJ-R3-7,CL2
SWAJ-R3-8,CL2
SWAJ-R3-9,CL2
SWAJ-R3-10,CL2
SWAJ-R3-11,CL2
SWAJ-R3-12,CL2
SWAJ-R3-13,CL2
SWAJ-R3-14,CL2
SWAJ-R3-15,CL2
SWAJ-R3-16,CL2
SWAJ-R3-17,CL2
SWAJ-R3-21,CL2
SWAJ-R3-23,CL2
SWAJ-R3-24,CL2
SWAJ-R3-18,CL4
SWAJ-R3-19,CL4
SWAJ-R3-22,CL4
SWAJ-R4-4,CL6
SWAJ-R4-6,CL6
SWAJ-R4-7,CL6
SWAJ-R4-15,CL6
SWAJ-R4-20,CL6
SWAJ-R4-21,CL6
SWAJ-R4-26,CL6
SWAJ-R4-19,CL6
SWAJ-R4-24,CL6
SWAJ-R4-23,CL6
SWAJ-R4-18,CL6
SWAJ-R4-25,CL6
SWAJ-R4-14,CL6
SWAJ-R4-1,CL2
SWAJ-R4-3,CL2
SWAJ-R4-5,CL2
SWAJ-R4-8,CL2
SWAJ-R4-9,CL2
SWAJ-R4-10,CL2
SWAJ-R4-11,CL2
SWAJ-R4-13,CL2
SWAJ-R4-27,CL2
SWAJ-R4-30,CL2
SWAJ-R4-2,CL2
SYAN-R1-1,CL4
SYAN-R1-9,CL4
SYAN-R1-10,CL4
SYAN-R1-11,CL4
SYAN-R1-12,CL4
SYAN-R1-14,CL4
SYAN-R1-19,CL4
SYAN-R1-20,CL4
SYAN-R1-13,CL4
SYAN-R1-16,CL4
SYAN-R3-2,CL1
SYAN-R3-3,CL1
SYAN-R3-4,CL1
SYAN-R3-7,CL1
SYAN-R3-9,CL1
SYAN-R3-11,CL1
SYAN-R3-13,CL1
SYAN-R3-16,CL1
SYAN-R3-18,CL1
SYAN-R3-24,CL1
SYAN-R3-8,CL6
SYAN-R3-17,CL4
SYAN-R3-22,CL4
SYAN-R4-2,CL4
SYAN-R4-3,CL4
SYAN-R4-4,CL4
SYAN-R4-5,CL4
SYAN-R4-6,CL4
SYAN-R4-10,CL4
SYAN-R4-12,CL4
SYAN-R4-18,CL4
SYAN-R4-21,CL4
SYAN-R4-23,CL4
